文件	处理决定	落地或说明
api/docusaurus-plugin/CHANGELOG.md	无需更新	工具链或插件说明，不属于本站当前收录重点
api/docusaurus-plugin/README.md	无需更新	工具链或插件说明，不属于本站当前收录重点
api/docusaurus-plugin/src/components/README.md	无需更新	工具链或插件说明，不属于本站当前收录重点
archive/items.md	无需更新	归档文档，暂不并入主站
archive/readme.md	无需更新	归档文档，暂不并入主站
docs/advanced/debugging-abilities.md	无需更新	与现有页面重叠或本轮优先级较低
docs/advanced/named-binary-tag.md	无需更新	与现有页面重叠或本轮优先级较低
docs/advanced/shaders-and-materials.md	无需更新	与现有页面重叠或本轮优先级较低
docs/advanced/wrapping-packages.md	无需更新	与现有页面重叠或本轮优先级较低
docs/basics/building-script.md	无需更新	与现有页面重叠或本轮优先级较低
docs/basics/evaluate-context.md	无需更新	与现有页面重叠或本轮优先级较低
docs/basics/integrating-libraries.md	无需更新	与现有页面重叠或本轮优先级较低
docs/basics/mod-lifecycle.md	翻译	docs/translations/innercore/basics/mod-lifecycle.md
docs/basics/mod-structure.md	翻译	docs/translations/innercore/basics/mod-structure.md
docs/blocks/block-entities.md	无需更新	与现有页面重叠或本轮优先级较低
docs/blocks/first-block.md	无需更新	与现有页面重叠或本轮优先级较低
docs/blocks/first-liquid.md	无需更新	与现有页面重叠或本轮优先级较低
docs/blocks/renders/block-renderer.md	无需更新	与现有页面重叠或本轮优先级较低
docs/blocks/renders/conditioning.md	无需更新	与现有页面重叠或本轮优先级较低
docs/blocks/renders/customizing-item.md	无需更新	与现有页面重叠或本轮优先级较低
docs/blocks/renders/vanilla-shapes.md	无需更新	与现有页面重叠或本轮优先级较低
docs/dimensions/creating-biomes.md	无需更新	与现有页面重叠或本轮优先级较低
docs/dimensions/first-dimension.md	无需更新	与现有页面重叠或本轮优先级较低
docs/dimensions/investigating-generators.md	无需更新	与现有页面重叠或本轮优先级较低
docs/dimensions/ore-with-manual-generation.md	无需更新	正文不足或占位，暂不落地
docs/entities/actoring-entities.md	无需更新	与现有页面重叠或本轮优先级较低
docs/entities/first-entity.md	无需更新	与现有页面重叠或本轮优先级较低
docs/entities/path-navigation.md	无需更新	与现有页面重叠或本轮优先级较低
docs/entities/renders/animating-in-runtime.md	无需更新	与现有页面重叠或本轮优先级较低
docs/entities/renders/attaching-renders.md	无需更新	与现有页面重叠或本轮优先级较低
docs/entities/renders/rendering-basics.md	无需更新	与现有页面重叠或本轮优先级较低
docs/environment/animation.md	无需更新	与现有页面重叠或本轮优先级较低
docs/environment/game-objects.md	修改	docs/guides/clients/innercore/environment-and-structure.md
docs/environment/modifying-region.md	修改	docs/guides/clients/innercore/ui-environment-and-libraries.md
docs/environment/particles.md	无需更新	正文不足或占位，暂不落地
docs/events/callbacks.md	翻译	docs/translations/innercore/events/callbacks.md
docs/events/threading.md	无需更新	正文不足或占位，暂不落地
docs/events/updatables.md	无需更新	与现有页面重叠或本轮优先级较低
docs/events/using-synced-data.md	无需更新	与现有页面重叠或本轮优先级较低
docs/events/where-what-and-who.md	无需更新	与现有页面重叠或本轮优先级较低
docs/future-steps.md	无需更新	与现有页面重叠或本轮优先级较低
docs/getting-started/developers-everywhere.md	无需更新	与现有页面重叠或本轮优先级较低
docs/getting-started/going-forward.md	翻译	docs/translations/innercore/getting-started/going-forward.md
docs/getting-started/installing-pack.md	翻译	docs/translations/innercore/getting-started/installing-pack.md
docs/getting-started/methodology.md	翻译	docs/translations/innercore/getting-started/methodology.md
docs/getting-started/supporting-ides.md	翻译	docs/translations/innercore/getting-started/supporting-ides.md
docs/intro.md	新增	docs/docs/client/innercore.md；docs/translations/innercore/index.md
docs/items/extra/enchanting.md	无需更新	与现有页面重叠或本轮优先级较低
docs/items/extra/what-is-extra.md	无需更新	正文不足或占位，暂不落地
docs/items/first-item.md	翻译	docs/translations/innercore/items/first-item.md
docs/items/food-armor-and-throwables.md	无需更新	与现有页面重叠或本轮优先级较低
docs/items/recipes.md	无需更新	与现有页面重叠或本轮优先级较低
docs/items/tools.md	无需更新	与现有页面重叠或本轮优先级较低
docs/multiplayer/client-packets.md	无需更新	与现有页面重叠或本轮优先级较低
docs/multiplayer/network-entity-type.md	无需更新	与现有页面重叠或本轮优先级较低
docs/multiplayer/server-packets.md	无需更新	与现有页面重叠或本轮优先级较低
docs/multiplayer/start.md	修改	docs/guides/clients/innercore/events-storage-and-multiplayer.md
